175,120,115,37,207,111,90,100
143,101,74,139,75,184,212,209
162,142,257,148,67,82,97,132
168,16,127,99,80,96,105,82
123,103,86,81,112,103,88,104
69,109,104,138,34,193,88,47
80,100,97,76,136,98,71,84
105,152,78,138,92,116,109,175
126,136,166,101,80,83,166,1
113,191,122,134,154,90,93,162
95,126,142,153,113,138,213,164
171,325,101,152,130,87,69,117
116,91,120,52,201,198,209,213
172,190,196,84,67,96,107,82
86,66,160,265,179,168,161,188
104,119,105,98,107,101,144,91
151,176,156,124,198,168,150,120
68,154,113,95,133,83,87,105
129,117,77,139,110,63,117,129
111,87,142,72,78,79,127,99
94,81,106,109,83,129,72,105
87,76,157,128,148,121,130,210
137,132,124,100,99,175,79,90
95,100,95,124,94,82,74,99
79,54,107,77,52,80,64,69
165,78,93,76,70,66,66,73
59,108,74,103,82,89,83,90
114,82,64,84,69,76,75,78
71,67,109,94,89,132,125,87
72,58,122,49,103,118,92,106
106,135,125,221,116,80,69,86
